root,venue,path_classification,account_evidence,product_permission_status,overnight_status,integer_sizing_status,margin_status,cost_quote_status,observed_staging_status,publication_lineage_status,calendar_status,history_power_status,data_evidence,power_evidence,park_reasons,returns_calculated,questions_sent
CL,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
CL,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
CL,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
NG,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
NG,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
NG,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
RB,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
RB,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
RB,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
HO,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
HO,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
HO,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
HG,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
HG,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
HG,future_self_funded,REQUIREMENTS_ONLY,"capital, permissions, margin, fees, integer sizing, limits and overnight drawdown budget are unspecified",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZC,Topstep,UNAVAILABLE_OVERNIGHT,combine path requires intraday liquidation; monthly overnight outright book is unavailable,usable,unavailable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
ZC,TradeStation_SIM,VALIDATION_ONLY,"SIM can validate mechanics but supplies no funded capital, binding overnight budget, or production fee/margin seal",requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,usable,requires verification/acquisition,requires verification/acquisition,requires verification/acquisition,"2025 staging exists; original-publication lineage, effective calendars, inactive-contract coverage and executable quotes/costs remain unresolved",eight development month ends; promotion protocol requires at least five years of untouched reserved history,PARK_ACCOUNT|PARK_DATA|PARK_POWER,False,False
